State,StateID,County,index,intercept,SP,unemployment,mortgage_rates,ind_prod,inflation_expect
Kansas,20,Kearny,2795,-2.78E-17,0.459513646,-0.188794206,0.692150104,-0.332217437,-0.189880612
Idaho,16,Adams,2796,4.56E-16,0.252115133,0.219851063,0.049101766,0.539976365,-0.419734913
Texas,48,Fisher,2797,8.67E-17,0.185971237,-0.03606766,0.555429175,-0.00783226,-0.040154628
Virginia,51,Norton,2798,-1.17E-16,0.167178886,-0.019074422,-0.174409283,-0.075033558,-0.025694291
Kansas,20,Smith,2799,1.53E-16,0.410198962,-0.297081798,0.3828203,-0.487698483,0.170119688
Idaho,16,Lewis,2800,-3.07E-16,0.278343008,-0.62375031,0.01656981,-0.514520281,-0.40046297
Alaska,2,Petersburg,2801,9.76E-17,0.005120564,0.435019958,-0.077907099,0.655880301,0.167459976
Nebraska,31,Webster,2802,3.09E-16,-0.033267467,-0.847543924,0.349679613,-0.420287415,-0.120206559
Colorado,8,Baca,2803,-1.20E-16,0.12941145,-0.394622344,0.310617258,-0.357013748,-0.06083827
Missouri,29,Mercer,2804,9.71E-17,-0.228697921,-1.244441543,-0.90333087,-0.823508668,-0.091359927
